,link,date,topic,src
37,https://timesofindia.indiatimes.com/politics/news/i-am-not-nervous-manoj-tiwari/articleshow/74075862.cms,11 Feb 2020,politics,TOI
38,https://timesofindia.indiatimes.com/politics/news/rahul-to-partymen-be-strategic-not-emotional-in-house/articleshow/74073203.cms,11 Feb 2020,politics,TOI
39,https://timesofindia.indiatimes.com/politics/news/its-in-dna-of-rss-and-bjp-to-try-and-erase-reservation-rahul-gandhi/articleshow/74058709.cms,10 Feb 2020,politics,TOI
40,https://timesofindia.indiatimes.com/politics/news/mns-takes-out-massive-march-vows-eye-for-an-eye-reply-to-anti-caa-rallies/articleshow/74055819.cms,10 Feb 2020,politics,TOI
41,https://timesofindia.indiatimes.com/politics/news/psa-dossiers-call-out-omar-for-his-influence-mehbooba-for-her-statements/articleshow/74055816.cms,10 Feb 2020,politics,TOI
42,https://timesofindia.indiatimes.com/politics/news/if-cm-arvind-kejriwal-wins-it-will-be-a-victory-of-developmental-agendas-adhir-ranjan-chowdhury/articleshow/74042810.cms,9 Feb 2020,politics,TOI
43,https://timesofindia.indiatimes.com/politics/news/urging-people-of-delhi-especially-my-young-friends-to-vote-in-record-numbers-pm-modi/articleshow/74021242.cms,8 Feb 2020,politics,TOI
44,https://timesofindia.indiatimes.com/politics/news/one-protected-by-mothers-sisters-cant-be-harmed-modis-swipe-over-danda-comment/articleshow/74012633.cms,7 Feb 2020,politics,TOI
45,https://timesofindia.indiatimes.com/politics/news/cong-mps-came-to-my-seat-in-ls-tried-to-attack-me-harsh-vardhan/articleshow/74005089.cms,7 Feb 2020,politics,TOI
46,https://timesofindia.indiatimes.com/politics/news/pm-modi-doesnt-behave-like-prime-minister-rahul-gandhi/articleshow/74004233.cms,7 Feb 2020,politics,TOI
47,https://timesofindia.indiatimes.com/politics/news/pm-talking-of-nehru-pakistan-but-silent-on-main-issue-of-unemployment-rahul-gandhi/articleshow/73982074.cms,6 Feb 2020,politics,TOI
48,https://timesofindia.indiatimes.com/politics/news/congress-left-inciting-people-at-protest-sites-pm-modi-in-lok-sabha/articleshow/73981117.cms,6 Feb 2020,politics,TOI
49,https://timesofindia.indiatimes.com/politics/news/nda-govts-determination-solved-many-problems-modi-in-lok-sabha/articleshow/73980212.cms,6 Feb 2020,politics,TOI
50,https://timesofindia.indiatimes.com/politics/news/pm-modi-to-reply-today-in-ls-on-motion-of-thanks-for-presidents-address/articleshow/73973755.cms,6 Feb 2020,politics,TOI
51,https://timesofindia.indiatimes.com/politics/news/incorrect-to-link-ram-temple-trust-decision-to-delhi-polls-prakash-javadekar/articleshow/73959690.cms,5 Feb 2020,politics,TOI
52,https://timesofindia.indiatimes.com/politics/news/congress-may-spring-surprise-in-delhi-randeep-singh-surjewala/articleshow/73985099.cms,6 Feb 2020,politics,TOI
53,https://timesofindia.indiatimes.com/politics/news/expel-anant-kumar-hegde-and-pragya-thakur-prove-love-for-bapu-congress-to-bjp/articleshow/73947464.cms,5 Feb 2020,politics,TOI
54,https://timesofindia.indiatimes.com/politics/news/over-30-people-have-died-in-west-bengal-due-to-fear-of-proposed-country-wide-nrc-mamata-banerjee/articleshow/73933652.cms,4 Feb 2020,politics,TOI
55,https://timesofindia.indiatimes.com/politics/news/bjp-leaders-controversial-remarks-shaheen-bagh-caa-dominate-debate-on-presidents-address/articleshow/73906924.cms,3 Feb 2020,politics,TOI
56,https://timesofindia.indiatimes.com/politics/news/bjp-will-provide-pucca-houses-to-all-poor-families-by-2022-pm-modi-at-delhi-rally/articleshow/73903434.cms,3 Feb 2020,politics,TOI
57,https://timesofindia.indiatimes.com/politics/news/caa-wont-be-taken-back-cong-indulging-in-vote-bank-politics-bjp/articleshow/73903315.cms,3 Feb 2020,politics,TOI
58,https://timesofindia.indiatimes.com/politics/news/opposition-members-walk-out-of-lok-sabha-to-protest-against-parvesh-verma/articleshow/73902067.cms,3 Feb 2020,politics,TOI
59,https://timesofindia.indiatimes.com/politics/news/samajwadi-party-was-the-first-to-say-kaagaz-nahi-dikhayenge-akhilesh-yadav/articleshow/73894899.cms,3 Feb 2020,politics,TOI
60,https://timesofindia.indiatimes.com/politics/news/karnataka-cabinet-expansion-on-february-6-yediyurappa/articleshow/73867270.cms,2 Feb 2020,politics,TOI
61,https://timesofindia.indiatimes.com/politics/news/7-maldivians-onboard-second-special-air-india-flight-from-wuhan/articleshow/73867037.cms,2 Feb 2020,politics,TOI
62,https://timesofindia.indiatimes.com/politics/news/cm-delhi-gets-stepmotherly-treatment/articleshow/73867001.cms,2 Feb 2020,politics,TOI
63,https://timesofindia.indiatimes.com/politics/news/saina-nehwal-joins-bjp-may-campaign-for-delhi-polls/articleshow/73750347.cms,30 Jan 2020,politics,TOI
64,https://timesofindia.indiatimes.com/politics/news/congress-attacks-government-on-farm-loans-msp/articleshow/73756007.cms,30 Jan 2020,politics,TOI
65,https://timesofindia.indiatimes.com/politics/news/take-note-of-pm-flouting-poll-code-ec-told/articleshow/73750181.cms,30 Jan 2020,politics,TOI
66,https://timesofindia.indiatimes.com/politics/news/kerala-governor-reads-governments-speech-under-protest/articleshow/73755996.cms,30 Jan 2020,politics,TOI
67,https://timesofindia.indiatimes.com/politics/news/yashwant-sinha-blames-govt-for-caa-violence-in-up-claims-bjp-will-lose-delhi-polls/articleshow/73755948.cms,30 Jan 2020,politics,TOI
68,https://timesofindia.indiatimes.com/politics/news/rahul-gandhi-to-lead-save-the-constitution-march-in-wayanad/articleshow/73737796.cms,29 Jan 2020,politics,TOI
69,https://timesofindia.indiatimes.com/politics/news/in-rajasthan-rally-rahul-gandhi-slams-pm-on-jobs-but-skirts-caa/articleshow/73714841.cms,29 Jan 2020,politics,TOI
70,https://timesofindia.indiatimes.com/politics/news/liar-says-prashant-kishor-as-nitish-kumar-reminds-him-of-jdu-entry-on-amit-shah-advice/articleshow/73714218.cms,29 Jan 2020,politics,TOI
71,https://timesofindia.indiatimes.com/politics/news/bjp-going-to-3-crore-families-to-explain-proves-theres-a-major-flaw-in-caa-nrc-people-want-jobs-not-that-law/articleshow/73687556.cms,28 Jan 2020,politics,TOI
72,https://timesofindia.indiatimes.com/politics/news/congress-will-walk-out-of-maharashtra-government-if-statute-cmp-violated-ashok-chavan/articleshow/73680579.cms,28 Jan 2020,politics,TOI
73,https://timesofindia.indiatimes.com/politics/news/gloves-off-cm-arvind-kejriwal-and-amit-shah-attack-each-other-over-shaheen-bagh/articleshow/73678923.cms,28 Jan 2020,politics,TOI
74,https://timesofindia.indiatimes.com/politics/news/karnataka-chaos-within-bjp-as-clamour-grows-for-senior-ministers-to-step-down/articleshow/73652586.cms,27 Jan 2020,politics,TOI
75,https://timesofindia.indiatimes.com/politics/news/governments-remote-is-at-silver-oak-batteries-in-delhi-devendra-fadnavis/articleshow/73613991.cms,25 Jan 2020,politics,TOI
76,https://timesofindia.indiatimes.com/politics/news/after-madhya-pradesh-bypoll-bjp-will-come-back-to-power-claims-shivraj-singh-chouhan/articleshow/73611266.cms,25 Jan 2020,politics,TOI
77,https://timesofindia.indiatimes.com/politics/news/rich-want-to-be-powerful-too-164-crorepatis-in-the-fray/articleshow/73606961.cms,25 Jan 2020,politics,TOI
78,https://timesofindia.indiatimes.com/politics/news/no-of-candidates-for-polls-at-its-lowest-ever/articleshow/73602095.cms,25 Jan 2020,politics,TOI
79,https://timesofindia.indiatimes.com/politics/news/aap-says-something-does-something-else-jp-nadda-at-nukkad-sabha/articleshow/73588632.cms,24 Jan 2020,politics,TOI
80,https://timesofindia.indiatimes.com/politics/news/poll-affidavit-case-devendra-fadnavis-gets-exemption-from-appearance/articleshow/73583878.cms,24 Jan 2020,politics,TOI
81,https://timesofindia.indiatimes.com/politics/news/pawars-security-at-delhi-home-withdrawn-by-centre-ncp/articleshow/73576987.cms,24 Jan 2020,politics,TOI
82,https://timesofindia.indiatimes.com/politics/news/during-maharashtra-polls-muslims-didnt-vote-for-bjp-sharad-pawar/articleshow/73548679.cms,23 Jan 2020,politics,TOI
83,https://timesofindia.indiatimes.com/politics/news/bsp-ready-to-accept-govts-challenge-for-debate-on-caa-mayawati/articleshow/73522518.cms,22 Jan 2020,politics,TOI
84,https://timesofindia.indiatimes.com/politics/news/despite-protests-caa-will-not-be-withdrawn-amit-shah/articleshow/73481319.cms,21 Jan 2020,politics,TOI
85,https://timesofindia.indiatimes.com/politics/news/13000-staff-on-election-duty-to-stay-overnight-at-polling-booths/articleshow/73472031.cms,21 Jan 2020,politics,TOI
86,https://timesofindia.indiatimes.com/politics/news/we-will-be-the-cementing-force-for-bjp-and-jdu-ram-vilas-paswan/articleshow/73443112.cms,20 Jan 2020,politics,TOI
87,https://timesofindia.indiatimes.com/politics/news/bjp-leaders-hail-jp-nadda-as-he-prepares-to-take-over-as-its-new-president/articleshow/73423153.cms,20 Jan 2020,politics,TOI
88,https://timesofindia.indiatimes.com/politics/news/guv-seeks-report-from-kerala-govt-on-sc-move/articleshow/73413644.cms,20 Jan 2020,politics,TOI
89,https://timesofindia.indiatimes.com/politics/news/with-netas-fishing-in-caa-troubled-waters-fissures-in-federalism-may-cost-india/articleshow/73413696.cms,20 Jan 2020,politics,TOI
90,https://timesofindia.indiatimes.com/politics/news/congress-sena-divide-widens-over-savarkar/articleshow/73413112.cms,20 Jan 2020,politics,TOI
91,https://timesofindia.indiatimes.com/politics/news/arvind-kejriwals-subdued-response-to-caa-npr-nrc-jamia-jnu-violence-smacks-of-opportunism-kapil-sibal/articleshow/73373870.cms,19 Jan 2020,politics,TOI
92,https://timesofindia.indiatimes.com/politics/news/assess-if-central-funds-are-enough-before-brainwashing-people-to-accept-policies-siddaramiah-to-amit-shah/articleshow/73354137.cms,18 Jan 2020,politics,TOI
93,https://timesofindia.indiatimes.com/politics/news/caa-no-need-to-inform-governor-before-approaching-sc-says-sitaram-yechury/articleshow/73337019.cms,17 Jan 2020,politics,TOI
94,https://timesofindia.indiatimes.com/politics/news/i-predicted-cracks-will-emerge-in-dmk-congress-ties-kamal-haasan/articleshow/73334390.cms,17 Jan 2020,politics,TOI
95,https://timesofindia.indiatimes.com/politics/news/rahul-gandhi-has-no-knowledge-about-amended-citizenship-law-j-p-nadda/articleshow/73328073.cms,17 Jan 2020,politics,TOI
96,https://timesofindia.indiatimes.com/politics/news/bjp-jana-sena-sew-up-alliance-in-andhra-pradesh-keep-tdp-at-bay/articleshow/73320662.cms,17 Jan 2020,politics,TOI
97,https://timesofindia.indiatimes.com/politics/news/maya-names-first-time-mp-a-brahmin-as-bsps-ls-chief/articleshow/73289496.cms,16 Jan 2020,politics,TOI
98,https://timesofindia.indiatimes.com/politics/news/aap-bjp-spat-over-freebies-gets-shriller/articleshow/73289489.cms,16 Jan 2020,politics,TOI
99,https://timesofindia.indiatimes.com/politics/news/delhi-polls-dropped-aap-mlas-deliberate-on-future-course-of-action/articleshow/73289481.cms,16 Jan 2020,politics,TOI
100,https://timesofindia.indiatimes.com/politics/news/rising-prices-give-ammo-to-bjp-rivals/articleshow/73263712.cms,15 Jan 2020,politics,TOI
101,https://timesofindia.indiatimes.com/politics/news/6-who-recently-switched-over-to-aap-given-tickets/articleshow/73263694.cms,15 Jan 2020,politics,TOI
102,https://timesofindia.indiatimes.com/politics/news/people-wont-value-services-if-they-are-all-given-for-free-says-gambhir/articleshow/73263697.cms,15 Jan 2020,politics,TOI
103,https://timesofindia.indiatimes.com/politics/news/maya-skips-sonia-meeting-over-betrayal-of-gehlot/articleshow/73238873.cms,14 Jan 2020,politics,TOI
104,https://timesofindia.indiatimes.com/politics/news/son-of-cong-heavyweight-joins-aap/articleshow/73238931.cms,14 Jan 2020,politics,TOI
105,https://timesofindia.indiatimes.com/politics/news/gandhiji-would-have-opposed-modis-communal-decisions-yashwant-sinha/articleshow/73234294.cms,13 Jan 2020,politics,TOI
106,https://timesofindia.indiatimes.com/politics/news/tmc-first-to-protest-against-cab-none-can-question-its-credentials-mamata-banerjee/articleshow/73234121.cms,13 Jan 2020,politics,TOI
107,https://timesofindia.indiatimes.com/politics/news/people-even-believe-in-fake-news-says-chidambaram-in-a-dig-at-govt/articleshow/73199157.cms,11 Jan 2020,politics,TOI
108,https://timesofindia.indiatimes.com/politics/news/majority-of-political-leaders-in-jk-free-now-ram-madhav/articleshow/73188300.cms,10 Jan 2020,politics,TOI
109,https://timesofindia.indiatimes.com/politics/news/mamata-slams-congress-left-wont-be-part-of-their-nrc-caa-stir/articleshow/73184452.cms,10 Jan 2020,politics,TOI
110,https://timesofindia.indiatimes.com/politics/news/pdp-expels-8-ex-mlas-for-engaging-with-government/articleshow/73184432.cms,10 Jan 2020,politics,TOI
111,https://timesofindia.indiatimes.com/politics/news/bjp-income-doubles-to-rs-2410-crore-congress-up-4-5-times-to-rs-918-crore/articleshow/73180352.cms,10 Jan 2020,politics,TOI
112,https://timesofindia.indiatimes.com/politics/news/aap-to-name-candidates-in-a-week-new-faces-likely/articleshow/73150811.cms,8 Jan 2020,politics,TOI
113,https://timesofindia.indiatimes.com/politics/news/pm-modi-changed-political-narrative-amit-shah/articleshow/73147166.cms,8 Jan 2020,politics,TOI
114,https://timesofindia.indiatimes.com/politics/news/fadnavis-and-raj-thackeray-meet-spark-political-speculation/articleshow/73144440.cms,7 Jan 2020,politics,TOI
115,https://timesofindia.indiatimes.com/politics/news/opposition-leaders-to-meet-in-delhi-on-jan-13-to-evolve-joint-strategy-after-jnu-violence/articleshow/73150823.cms,8 Jan 2020,politics,TOI
116,https://timesofindia.indiatimes.com/politics/news/bjp-banks-on-modi-magic-to-counter-kejriwal-charisma/articleshow/73130114.cms,7 Jan 2020,politics,TOI
117,https://timesofindia.indiatimes.com/politics/news/caa-ownership-rights-for-colonies-bjps-key-issues-against-arvind-kejriwal/articleshow/73125704.cms,6 Jan 2020,politics,TOI
118,https://timesofindia.indiatimes.com/politics/news/sharad-pawar-lauds-chandra-shekhars-support-to-his-1978-maharashtra-government/articleshow/73123061.cms,6 Jan 2020,politics,TOI
119,https://timesofindia.indiatimes.com/politics/news/bjp-only-party-free-from-dynastic-politics-jp-nadda/articleshow/73106913.cms,5 Jan 2020,politics,TOI
120,https://timesofindia.indiatimes.com/politics/news/ban-booklet-maligning-savarkar-devendra-fadnavis-to-uddhav-thackeray/articleshow/73085211.cms,3 Jan 2020,politics,TOI
121,https://timesofindia.indiatimes.com/politics/news/india-has-rich-culture-heritage-why-compare-nation-with-pakistan-mamata-attacks-pm-modi/articleshow/73082822.cms,3 Jan 2020,politics,TOI
122,https://timesofindia.indiatimes.com/politics/news/protest-against-paks-atrocities-on-minorities-pm-modi-tells-anti-caa-protesters/articleshow/73069434.cms,2 Jan 2020,politics,TOI
123,https://timesofindia.indiatimes.com/politics/news/respect-all-religions-mayawati-extends-new-year-greeting/articleshow/73054443.cms,1 Jan 2020,politics,TOI
124,https://timesofindia.indiatimes.com/politics/news/2019-will-be-remembered-for-betrayal-of-peoples-mandate-congress/articleshow/73048861.cms,31 Dec 2019,politics,TOI
125,https://timesofindia.indiatimes.com/politics/news/2019-a-watershed-year-for-bjp-but-new-challenges-emerge/articleshow/73043854.cms,31 Dec 2019,politics,TOI
126,https://timesofindia.indiatimes.com/politics/news/four-muslims-get-berths-in-team-uddhav/articleshow/73039982.cms,31 Dec 2019,politics,TOI
127,https://timesofindia.indiatimes.com/politics/news/maharashtra-governor-pulls-up-two-mantris-for-deviating-from-oath-text/articleshow/73039912.cms,31 Dec 2019,politics,TOI
128,https://timesofindia.indiatimes.com/politics/news/uddhav-thackeray-inducts-son-aaditya-into-cabinet-ajit-pawar-back-as-maharashtra-deputy-cm/articleshow/73039832.cms,31 Dec 2019,politics,TOI
129,https://timesofindia.indiatimes.com/politics/news/shiv-senas-alliance-driver-sanjay-raut-doesnt-attend-swearing-in/articleshow/73041213.cms,31 Dec 2019,politics,TOI
130,https://timesofindia.indiatimes.com/politics/news/uddhav-thackeray-inducts-son-35-others-ajit-pawar-sworn-in-deputy-cm/articleshow/73032973.cms,30 Dec 2019,politics,TOI
131,https://timesofindia.indiatimes.com/politics/news/caa-divisive-dangerous-for-country-amarinder-singh/articleshow/73030508.cms,30 Dec 2019,politics,TOI
132,https://timesofindia.indiatimes.com/politics/news/hemant-soren-takes-oath-amid-opposition-show-of-strength/articleshow/73024225.cms,30 Dec 2019,politics,TOI
133,https://timesofindia.indiatimes.com/politics/news/bihar-polls-bjp-jdu-seat-sharing-should-be-11-4-says-prashant-kishor-draws-ire-of-ally/articleshow/73024230.cms,30 Dec 2019,politics,TOI
134,https://timesofindia.indiatimes.com/politics/news/hemant-soren-set-to-take-oath-as-11th-chief-minister-of-jharkhand/articleshow/73015750.cms,29 Dec 2019,politics,TOI
