,link,date,topic,src
31,https://www.hindustantimes.com/bollywood/rohit-shetty-unfollows-katrina-kaif-on-instagram-days-after-his-nobody-will-notice-katrina-comment/story-dpLWN4H18RjmSZMEeKIiLL.html,"Mar 12, 2020 ",sports,HT
32,https://www.hindustantimes.com/tv/mahhi-vij-lashes-out-at-trolls-for-commenting-on-her-daughter-stop-barking-shame-on-you-people/story-S39OrepyuX22oaVy2FP3jP.html,"Mar 12, 2020 ",sports,HT
33,https://www.hindustantimes.com/bollywood/ibrahim-ali-khan-debuts-with-ad-for-clothing-brand-fans-say-replica-of-dad-saif-see-pics/story-FJDRQXp71nEYLpDIfRmPxJ.html,"Mar 12, 2020 ",sports,HT
34,https://www.hindustantimes.com/bollywood/kareena-kapoor-called-arrogant-after-fan-pesters-her-for-picture-twitter-comes-out-in-defence-watch-here/story-KyyjQY2UV1bDgoS6SBbZgK.html,"Mar 12, 2020 ",sports,HT
35,https://www.hindustantimes.com/cricket/virus-impact-on-ipl-maharashtra-orders-ties-in-empty-stadiums/story-HEQ5gRZmspl4SN7CNIeC8J.html,"Mar 12, 2020 ",sports,HT
36,https://www.hindustantimes.com/cricket/ipl-2020-maharashtra-government-bans-ticket-sales-for-mi-vs-csk-ipl-opener-report/story-X02wjX7JU6zAVQoVYClKAJ.html,"Mar 12, 2020 ",sports,HT
37,https://www.hindustantimes.com/football/pk-banerjee-s-condition-remains-critical-hospital/story-N38funHT9ZJEDGw0NUZ7kJ.html,"Mar 12, 2020 ",sports,HT
38,https://www.hindustantimes.com/cricket/after-fever-cheteshwar-pujara-down-with-back-problem/story-bKEcMzqCorXSDjFhLCToDJ.html,"Mar 12, 2020 ",sports,HT
39,https://www.hindustantimes.com/cricket/bangladesh-beat-zimbabwe-by-nine-wickets-to-win-t20-series/story-f0kKEdeZXdcI2sEzWZVdII.html,"Mar 12, 2020 ",sports,HT
40,https://www.hindustantimes.com/cricket/india-vs-south-africa-weather-forecast-bleak-as-rain-could-play-spoilsport-in-dharamsala-odi/story-5xImhUIUtDR6TptoEHY4iP.html,"Mar 12, 2020 ",sports,HT
41,https://www.hindustantimes.com/cricket/australia-bank-on-top-four-against-buoyant-new-zealand/story-hrdtebsZf68JtuyeifZYWK.html,"Mar 12, 2020 ",sports,HT
