,link,date,topic
357,http://www.fakingnews.com/politics/sasikala-promises-build-wall-tamilnadu-karnataka-within-next-week-proxy-cm-19503,"18, Feb 2017",politics
358,http://www.fakingnews.com/politics/shiv-sena-praises-fadnavis-government-in-a-tweet-twitter-checking-if-their-account-got-hacked-19474,"16, Feb 2017",politics
359,http://www.fakingnews.com/politics/andhra-speaker-ask-banks-launch-lockers-women-can-kept-safe-secure-19439,"14, Feb 2017",politics
576,http://www.fakingnews.com/politics/couldnt-handle-2-comedy-shows-at-the-same-time-sidhu-says-after-resigning-from-rajya-sabha-10320,"18, Jul 2016",politics
577,http://www.fakingnews.com/politics/delhi-govt-and-mcd-swing-into-action-by-blaming-each-other-after-flooding-of-roads-10277,"15, Jul 2016",politics
578,http://www.fakingnews.com/politics/after-congress-announces-cm-candidate-for-up-even-aiadmk-has-decided-to-announce-one-10273,"14, Jul 2016",politics
579,http://www.fakingnews.com/politics/after-fat-tax-kerala-govt-to-levy-lazy-tax-on-people-who-have-never-gone-to-gulf-10261,"13, Jul 2016",politics
580,http://www.fakingnews.com/politics/venkaiah-naidu-issues-show-cause-notice-to-govt-employees-who-were-present-in-office-at-930-am-10248,"12, Jul 2016",politics
581,http://www.fakingnews.com/politics/air-india-accuses-venkaiah-naidu-of-seeking-vvip-treatment-for-asking-on-time-departure-10166,"29, Jun 2016",politics
582,http://www.fakingnews.com/politics/messi-retired-after-subramanian-swamys-allegations-that-he-is-not-mentally-fully-argentine-10160,"28, Jun 2016",politics
583,http://www.fakingnews.com/politics/now-kejriwal-raises-doubts-over-arnab-goswamis-journalism-degree-10156,"28, Jun 2016",politics
584,http://www.fakingnews.com/politics/popular-personalities-views-on-how-the-next-rbi-governor-should-be-after-raghuram-rajan-10121,"25, Jun 2016",politics
585,http://www.fakingnews.com/politics/kejriwal-offered-lead-role-in-conjuring-3-after-he-repeatedly-declared-that-modi-is-scared-of-him-10088,"22, Jun 2016",politics
586,http://www.fakingnews.com/politics/no-interest-in-2nd-term-as-they-send-me-to-papua-new-guinea-while-pm-visits-us-pranab-mukherjee-10045,"15, Jun 2016",politics
587,http://www.fakingnews.com/politics/akhilesh-yadav-requests-media-to-blame-him-too-once-in-a-while-so-that-people-dont-forget-he-is-cm-9986,"05, Jun 2016",politics
600,http://www.fakingnews.com/politics/tmc-govt-in-bengal-develops-a-memory-loss-pill-to-delete-memories-of-nadia-riots-from-minds-of-locals-7941,"13, May 2015",politics
601,http://www.fakingnews.com/politics/bjp-asks-pollard-to-put-the-same-tape-he-war-wearing-on-sakshi-maharajs-mouth-7884,"28, Apr 2015",politics
602,http://www.fakingnews.com/politics/count-dracula-floats-ngo-for-vampire-rights-wants-minority-status-blood-sucking-legalized-7883,"27, Apr 2015",politics
603,http://www.fakingnews.com/politics/n-srinivasan-set-to-replace-kejriwal-as-aap-president-after-reports-of-him-spying-on-bcci-officials-7881,"27, Apr 2015",politics
604,http://www.fakingnews.com/politics/after-batting-for-farmers-and-net-neutrality-rahul-gandhi-to-now-bat-for-mumbai-indians-literally-7872,"24, Apr 2015",politics
605,http://www.fakingnews.com/politics/after-smelling-a-green-leaf-i-was-transported-to-an-alien-planet-where-i-spent-50-days-rahul-gandhi-7871,"24, Apr 2015",politics
606,http://www.fakingnews.com/politics/bcci-hires-akhilesh-yadav-to-prepare-bouncy-wickets-after-most-of-his-governments-farmer-compensation-cheques-bounce-7863,"22, Apr 2015",politics
607,http://www.fakingnews.com/politics/yogendra-yadav-and-prashant-bhushan-to-stand-outside-kejriwals-residence-night-day-to-win-back-his-heart-7862,"22, Apr 2015",politics
608,http://www.fakingnews.com/politics/only-reason-i-still-eat-lots-of-cotton-candy-is-because-i-am-concerned-for-our-cotton-farmers-rahul-gandhi-7860,"21, Apr 2015",politics
609,http://www.fakingnews.com/politics/yogendra-yadav-requests-kejriwal-to-let-him-carry-out-last-internal-survey-before-being-thrown-out-7859,"21, Apr 2015",politics
610,http://www.fakingnews.com/politics/raga-is-a-skilled-administrator-and-a-mellifluous-orator-but-in-a-parallel-universe-claims-philosopher-7842,"16, Apr 2015",politics
611,http://www.fakingnews.com/politics/rahul-gandhi-takes-retirement-from-vacationing-after-running-out-of-places-to-vacation-7838,"16, Apr 2015",politics
720,http://www.fakingnews.com/politics/kashmiri-separatists-laud-800-valmikis-ask-pandits-to-learn-from-them-7835,"15, Apr 2015",politics
721,http://www.fakingnews.com/politics/a-township-based-on-religion-is-detrimental-to-a-state-that-is-not-based-on-religion-assin-malick-7829,"14, Apr 2015",politics
722,http://www.fakingnews.com/politics/junior-ministers-complain-pm-modi-is-like-it-company-manager-takes-up-all-onsite-opportunities-without-giving-subordinates-chance-7832,"14, Apr 2015",politics
723,http://www.fakingnews.com/politics/nehru-snooped-on-bose-to-write-a-biography-on-him-claims-historian-ram-buha-7828,"13, Apr 2015",politics
724,http://www.fakingnews.com/politics/pm-modi-to-visit-india-for-a-short-trip-soon-to-take-tips-from-obama-on-places-to-visit-7826,"13, Apr 2015",politics
725,http://www.fakingnews.com/politics/aap-to-now-launch-helpline-for-disgruntled-leaders-within-party-7802,"06, Apr 2015",politics
726,http://www.fakingnews.com/politics/aap-to-conduct-campus-placements-to-fill-vacancies-left-by-senior-members-7799,"04, Apr 2015",politics
727,http://www.fakingnews.com/politics/high-fission-rate-of-aap-makes-barc-consider-it-a-replacement-for-uranium-235-7785,"02, Apr 2015",politics
728,http://www.fakingnews.com/politics/haryana-govt-forms-committee-to-find-a-department-where-likes-of-khemka-can-be-safely-transferred-7783,"02, Apr 2015",politics
729,http://www.fakingnews.com/politics/sharad-yadav-blasts-goa-cm-for-advising-nurses-against-getting-dark-7775,"01, Apr 2015",politics
730,http://www.fakingnews.com/politics/rajesh-garg-says-he-smelled-rat-when-calls-were-made-by-aap-in-the-name-of-manmohan-singh-7773,"31, Mar 2015",politics
731,http://www.fakingnews.com/politics/lightning-strikes-a-church-in-gujarat-hindutva-groups-alleged-to-be-behind-it-7771,"31, Mar 2015",politics
732,http://www.fakingnews.com/politics/fearing-low-trps-bcci-postpones-ipl-8-till-aap-infighting-stops-7766,"30, Mar 2015",politics
733,http://www.fakingnews.com/politics/yogendra-yadav-to-open-a-mini-press-club-at-his-residence-for-quick-press-confrerences-7760,"30, Mar 2015",politics
734,http://www.fakingnews.com/politics/exclusive-transcript-of-aap-meeting-that-saw-yadav-and-bhushan-removed-7756,"29, Mar 2015",politics
735,http://www.fakingnews.com/politics/kejriwal-writes-a-thank-you-letter-to-dhoni-and-times-now-for-shifting-focus-off-aaps-massive-internal-war-7743,"27, Mar 2015",politics
736,http://www.fakingnews.com/politics/kejriwal-went-to-bangalore-to-learn-sign-language-to-escape-future-stings-sources-7693,"21, Mar 2015",politics
737,http://www.fakingnews.com/politics/sharad-yadav-to-launch-dark-and-lovely-cream-in-indian-market-to-apply-on-fair-skinned-female-mps-first-7656,"17, Mar 2015",politics
738,http://www.fakingnews.com/politics/bbc-tracks-down-rahul-gandhi-for-interview-india-and-bbc-both-ban-the-telecast-7654,"16, Mar 2015",politics
