,link,date,topic
360,http://www.fakingnews.com/sports/cci-revokes-52-cr-fine-bcci-bcci-plans-organize-2-ind-lanka-matches-earn-52-crs-24417,"30, Nov 2017",Sports
361,http://www.fakingnews.com/sports/thanks-dhoni-way-batted-husband-handed-tv-remote-without-asking-says-wife-24029,"05, Nov 2017",Sports
362,http://www.fakingnews.com/sports/dhonis-team-already-ipl-2018-finals-officials-say-wanted-save-time-money-23979,"03, Nov 2017",Sports
363,http://www.fakingnews.com/sports/nehra-gautam-gambhir-announces-retirement-hoping-play-one-match-india-24001,"03, Nov 2017",Sports
364,http://www.fakingnews.com/sports/supreme-court-sets-annual-limit-virat-kohlis-100s-protect-sentiments-sachin-tendulkars-fans-23920,"30, Oct 2017",Sports
365,http://www.fakingnews.com/sports/kohli-requests-bcci-keep-stump-mic-recordings-dhoni-safely-will-help-captain-side-dhoni-retires-23266,"18, Sep 2017",Sports
366,http://www.fakingnews.com/sports/virat-kohli-caught-thanking-baba-gurmeet-ram-rahim-hitting-century-4th-odi-srilanka-22988,"01, Sep 2017",Sports
367,http://www.fakingnews.com/sports/hardik-pandya-get-hairstyling-allowance-bcci-22969,"31, Aug 2017",Sports
368,http://www.fakingnews.com/sports/fed-repeated-questions-msds-future-kohli-requests-media-ask-questions-relation-anushka-22869,"24, Aug 2017",Sports
369,http://www.fakingnews.com/sports/indias-lower-order-batsmen-can-visit-tourist-spots-indias-batting-entire-sl-tour-bcci-22724,"19, Aug 2017",Sports
370,http://www.fakingnews.com/sports/ashok-dinda-mistakenly-breaks-dahi-handi-society-bowling-gully-cricket-match-22659,"16, Aug 2017",Sports
371,http://www.fakingnews.com/sports/bcci-brain-fade-moment-scheduled-india-lanka-series-22626,"14, Aug 2017",Sports
480,http://www.fakingnews.com/sports/i-was-not-in-the-room-during-the-interview-but-i-could-hear-ravi-shastris-loud-voice-clearly-sourav-ganguly-10168,"29, Jun 2016",Sports
481,http://www.fakingnews.com/sports/david-cameron-thanks-roy-hodgson-for-distracting-the-country-with-a-different-type-of-exit-from-europe-10145,"28, Jun 2016",Sports
482,http://www.fakingnews.com/sports/delhi-boy-who-never-played-or-followed-football-heartbroken-by-messis-retirement-10143,"27, Jun 2016",Sports
483,http://www.fakingnews.com/sports/fans-reject-messis-international-retirement-demand-a-referendum-on-mexit-10137,"27, Jun 2016",Sports
484,http://www.fakingnews.com/sports/anil-kumble-to-learn-punjabi-abuses-to-have-a-better-working-relationship-with-virat-kohli-10135,"26, Jun 2016",Sports
485,http://www.fakingnews.com/sports/icc-asks-india-to-loan-virat-kohli-to-zimbabwe-for-a-competitive-t20-series-10047,"15, Jun 2016",Sports
486,http://www.fakingnews.com/sports/bcci-gets-57-applications-for-position-of-coach-plans-to-conduct-mini-ipl-among-applicants-to-arrive-at-a-shortlist-10039,"14, Jun 2016",Sports
487,http://www.fakingnews.com/sports/man-watching-all-india-zimbabwe-matches-to-be-honored-by-icc-for-his-dedication-to-cricket-10034,"13, Jun 2016",Sports
488,http://www.fakingnews.com/sports/womens-tennis-viewership-in-india-expected-to-drop-by-90-after-sharapovas-ban-10032,"13, Jun 2016",Sports
489,http://www.fakingnews.com/sports/after-doping-ban-sharapova-prays-to-sachin-to-atone-for-the-sin-of-not-knowing-him-10012,"09, Jun 2016",Sports
490,http://www.fakingnews.com/sports/now-akali-dal-wants-bcci-to-remove-punjab-from-kings-xi-punjab-says-the-team-defames-punjab-10002,"07, Jun 2016",Sports
491,http://www.fakingnews.com/sports/back-in-delhi-virat-kohli-asked-by-delhi-police-to-chase-down-people-who-jump-traffic-signals-9950,"01, Jun 2016",Sports
612,http://www.fakingnews.com/sports/pakistan-declares-its-fielders-as-non-state-actors-after-losing-to-australia-7689,"20, Mar 2015",Sports
613,http://www.fakingnews.com/sports/impressed-with-sanjay-manjrekars-trivia-govt-recommends-him-for-ministry-of-statistics-7681,"19, Mar 2015",Sports
614,http://www.fakingnews.com/sports/in-tweets-india-vs-bangladesh-quarter-final-world-cup-match-7679,"19, Mar 2015",Sports
615,http://www.fakingnews.com/sports/5-reasons-why-kohli-got-out-cheaply-against-bangladesh-today-7676,"19, Mar 2015",Sports
616,http://www.fakingnews.com/sports/sri-lankan-batsmen-successfully-put-just-woken-up-fans-to-sleep-again-7665,"18, Mar 2015",Sports
617,http://www.fakingnews.com/sports/after-rohit-sharma-debacle-young-emerging-batsman-objects-to-being-called-talented-by-experts-7648,"16, Mar 2015",Sports
618,http://www.fakingnews.com/sports/man-sues-star-sports-for-showing-hockey-instead-of-repeating-cricket-matches-7634,"13, Mar 2015",Sports
619,http://www.fakingnews.com/sports/just-like-aap-internal-fight-in-indian-team-imminent-if-it-wins-world-cup-7614,"11, Mar 2015",Sports
620,http://www.fakingnews.com/sports/pakistan-claims-it-did-not-defeat-zimbabwe-by-200-runs-to-boost-zimbabwes-confidence-for-match-against-india-7560,"02, Mar 2015",Sports
621,http://www.fakingnews.com/sports/with-crackers-reaching-their-expiry-date-the-famous-pakistani-fan-decides-to-celebrate-victory-of-any-team-in-world-cup-7507,"23, Feb 2015",Sports
622,http://www.fakingnews.com/sports/indian-team-to-lose-next-2-games-to-again-peak-at-right-time-in-the-tournament-7501,"23, Feb 2015",Sports
623,http://www.fakingnews.com/sports/govt-cracks-whip-on-religious-groups-that-spread-hatred-arsenal-and-manu-fan-groups-to-be-banned-first-7495,"22, Feb 2015",Sports
744,http://www.fakingnews.com/sports/bcci-had-tried-to-organize-an-ipl-for-princely-states-in-1930-3499,"15, Aug 2013",Sports
745,http://www.fakingnews.com/sports/virat-kohli-asks-for-more-odis-against-zimbabwe-to-give-chance-to-parvez-rasool-3393,"03, Aug 2013",Sports
746,http://www.fakingnews.com/sports/unfazed-by-high-court-order-srini-offers-to-revamp-judiciary-like-cricket-3354,"30, Jul 2013",Sports
747,http://www.fakingnews.com/sports/engineer-plays-temple-run-breaks-milkha-singhs-400m-record-3282,"18, Jul 2013",Sports
748,http://www.fakingnews.com/sports/india-announces-retirement-from-india-sri-lanka-cricket-matches-3243,"12, Jul 2013",Sports
749,http://www.fakingnews.com/sports/fake-match-planned-after-cricketers-refuse-to-play-another-india-sri-lanka-match-3225,"09, Jul 2013",Sports
750,http://www.fakingnews.com/sports/queen-elizabeth-to-abdicate-throne-for-sir-ravindra-jadeja-3166,"23, Jun 2013",Sports
751,http://www.fakingnews.com/sports/ghanta-say-cricket-fans-when-asked-if-they-were-shocked-by-spot-fixing-expose-3099,"01, Jun 2013",Sports
752,http://www.fakingnews.com/sports/ipl-7-will-be-a-movie-starring-sachin-tendulkar-3087,"27, May 2013",Sports
753,http://www.fakingnews.com/sports/zoozoo-arrested-for-spot-fixing-in-ipl-matches-3083,"23, May 2013",Sports
754,http://www.fakingnews.com/sports/sreesanth-accused-of-stealing-towel-from-hotel-3081,"18, May 2013",Sports
755,http://www.fakingnews.com/sports/bowlers-to-be-replaced-with-bowling-machines-to-stop-fixing-3077,"16, May 2013",Sports
864,http://www.fakingnews.com/sports/tendulkar-fan-planning-to-attack-kallis-arrested-with-knife-809,"24, Apr 2010",Sports
865,http://www.fakingnews.com/sports/oongli-cricketer-announces-retirement-from-all-forms-of-the-game-775,"08, Apr 2010",Sports
866,http://www.fakingnews.com/sports/lalit-modi-detained-and-asked-to-undress-at-london-airport-757,"30, Mar 2010",Sports
867,http://www.fakingnews.com/sports/five-sponsorship-proposals-for-ipl-matches-that-were-rejected-733,"22, Mar 2010",Sports
868,http://www.fakingnews.com/sports/employees-ransack-office-after-having-missed-sachin-tendulkar-double-century-670,"24, Feb 2010",Sports
869,http://www.fakingnews.com/sports/rift-in-indian-cricket-team-widens-as-zaheer-sabotages-gambhir-bid-for-record-595,"27, Jan 2010",Sports
870,http://www.fakingnews.com/sports/shahid-afridi-threatens-to-grow-big-beard-to-avenge-ipl-snub-579,"20, Jan 2010",Sports
871,http://www.fakingnews.com/sports/tiger-woods-was-practicing-driving-in-delhi-when-his-car-crashed-440,"01, Dec 2009",Sports
872,http://www.fakingnews.com/sports/cute-girl-cheering-dhoni-in-stadium-just-wanted-to-be-on-television-398,"16, Nov 2009",Sports
873,http://www.fakingnews.com/sports/fearing-getting-slapped-ricky-ponting-taking-marathi-lessons-377,"10, Nov 2009",Sports
874,http://www.fakingnews.com/sports/millions-injured-as-series-of-tendulkar-debates-rock-various-parts-of-india-369,"06, Nov 2009",Sports
875,http://www.fakingnews.com/sports/munaf-patel-and-dinesh-karthik-to-play-for-australia-tomorrow-365,"04, Nov 2009",Sports
